formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
MgTlO3,Mg,Tl,none,-1.1950351,0.6203237,1.3271462,11.912244998905129,0.0,3.90530125,3.90530125,3.90530125,90.0,90.0,90.0,0.0,Mg1 O3 Tl1,8.0,81.0,73.0,23.4,23.04,8.0,68.0,87.0,19.0,81.0,7.2,87.0,15.9994,204.3833,188.3839,55.337300000000006,59.6184,15.9994,54.8,923.0,868.2,332.88,333.696,54.8,2.0,16.0,14.0,12.6,4.24,16.0,2.0,6.0,4.0,3.0,1.2,2.0,66.0,145.0,79.0,96.8,36.96,66.0,1.31,3.44,2.13,2.65,0.948,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6,1.6799999999999995,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,2.8,4.48,0.0,2.0,27.0,25.0,9.4,7.040000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,9.105,26.91,17.805,15.422999999999998,7.5816,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,Mg0+1 O0+3 Tl0+1,0,0,0,0.0
CuAsO3,As,Cu,none,-1.2771099,0.0696245,0.0,14.093881584670054,0.0516,3.23389819,4.95356559,8.79804861,90.0,90.0,90.0,0.0,As1 Cu1 O3,8.0,33.0,25.0,17.2,11.04,8.0,64.0,87.0,23.0,81.8,7.120000000000002,87.0,15.9994,74.9216,58.9222,37.29316,25.552512,15.9994,54.8,1357.77,1302.97,522.434,561.1608,54.8,11.0,16.0,5.0,14.8,1.5199999999999996,16.0,2.0,4.0,2.0,2.8,0.96,2.0,66.0,132.0,66.0,89.8,28.56,66.0,1.9,3.44,1.54,2.88,0.6719999999999999,3.44,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,8.8,3.3600000000000003,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.4,2.0,9.105,22.175,13.07,12.112,4.0252,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,85.4,88.08,12.0,As5+1 Cu+1 O2-3,-2,5,7,2.756809750418044
ZrOs3O,Os,Zr,none,0.14753227,1.4085747,-1e-07,14.389129899557798,0.0,4.15912059,4.15912059,4.15912059,90.0,90.0,90.0,0.0,O1 Os3 Zr1,8.0,76.0,68.0,55.2,24.96,76.0,44.0,87.0,43.0,60.4,10.64,57.0,15.9994,190.23,174.23059999999998,135.58268,65.57678399999999,190.23,54.8,3306.0,3251.2,2420.16,1063.008,3306.0,4.0,16.0,12.0,8.8,2.8800000000000003,8.0,2.0,6.0,4.0,5.0,1.2,6.0,66.0,175.0,109.0,134.6,27.440000000000005,144.0,1.33,3.44,2.11,2.274,0.4663999999999998,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,6.0,6.0,4.0,2.4,6.0,0.0,14.0,14.0,8.4,6.719999999999999,14.0,4.0,22.0,18.0,15.2,8.16,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,8.0,8.0,4.0,1.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.4,1.4400000000000002,4.0,9.105,23.195,14.09,14.913999999999998,3.312399999999999,14.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,157.6,58.24000000000001,194.0,O0+1 Os0+3 Zr0+1,0,0,0,0.0
CsN2O,Cs,N,none,-0.646005,0.26962775,1.0022907,23.393370656438645,0.3235,4.02770902,4.233669685950497,6.855472013766755,53.17418161363353,90.0,90.0,0.0,Cs1 N2 O1,7.0,55.0,48.0,19.25,17.875,7.0,5.0,87.0,82.0,64.0,29.5,82.0,14.0067,132.9054519,118.8987519,44.229562975,44.337944462500005,14.0067,54.8,301.59,246.79,120.6225,90.48375,63.05,1.0,16.0,15.0,11.75,5.375,15.0,2.0,6.0,4.0,3.0,1.5,2.0,66.0,244.0,178.0,113.0,65.5,71.0,0.79,3.44,2.65,2.5775,0.8937499999999999,3.04,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.5,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.25,1.625,5.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.25,0.75,3.0,9.105,115.765,106.66,38.601875,38.5815625,14.76875,0.0,6.437,6.437,3.2185,3.2185,6.437,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,157.25,72.625,194.0,Cs+1 N3+1 N2-1 O2-1,-2,3,5,2.1213203435596424
Sc2ClO2,Cl,Sc,none,-3.2349057,0.12237622,-1e-07,16.678679932385414,0.0,3.54395984,4.28429638,6.155919036196154,110.36392657432712,106.72926899577872,90.0,0.0,Cl1 O2 Sc2,8.0,21.0,13.0,15.0,5.6,8.0,11.0,94.0,83.0,58.0,37.6,11.0,15.9994,44.955912,28.956512,31.4727248,12.37865984,15.9994,54.8,1814.0,1759.2,781.8399999999999,825.7279999999998,54.8,3.0,17.0,14.0,11.0,6.4,3.0,2.0,4.0,2.0,3.0,0.8,2.0,66.0,170.0,104.0,114.8,44.16,66.0,1.36,3.44,2.08,2.552,0.9536,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.0,1.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.6,3.5200000000000005,2.0,9.105,24.4975,15.392499999999998,17.435499999999998,6.6644000000000005,9.105,0.0,2.493,2.493,0.4986,0.79776,0.0,0.0,6.35e-06,6.35e-06,2.54e-06,3.048e-06,0.0,12.0,194.0,182.0,95.2,79.04,12.0,Cl-1 O2-2 Sc2+1 Sc3+1,-2,3,5,2.097617696340304
Ca2ClO,Ca,Cl,none,-2.4490788,0.25326866,1.4489957,24.92959398033515,0.0,6.05817757,6.05817757,6.919488857410549,64.03882963215712,64.03882963215712,90.0,0.0,Ca2 Cl1 O1,8.0,20.0,12.0,16.25,4.125,20.0,7.0,94.0,87.0,48.75,41.75,7.0,15.9994,40.078,24.0786,32.902100000000004,8.45135,40.078,54.8,1115.0,1060.2,614.1,500.9,1115.0,2.0,17.0,15.0,9.25,7.25,2.0,2.0,4.0,2.0,3.25,0.75,4.0,66.0,176.0,110.0,130.0,46.0,176.0,1.0,3.44,2.44,2.15,1.15,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.25,2.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.75,0.75,0.0,9.105,37.77,28.665000000000003,27.285625000000003,10.484375000000002,37.77,0.0,2.493,2.493,0.62325,0.934875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,131.5,93.5,225.0,Ca0+2 Cl0+1 O0+1,0,0,0,0.0
PbWO4,Pb,W,none,-1.9807996,0.06442772,0.0,17.74658343338076,2.4197,3.900881183117804,7.77249555420643,7.649707387801107,107.65043227270212,104.771768383298,89.99999863223235,0.0,O4 Pb1 W1,8.0,82.0,74.0,31.33333333333333,31.111111111111114,8.0,51.0,87.0,36.0,80.0,9.666666666666666,87.0,15.9994,207.2,191.2006,75.8396,79.78693333333332,15.9994,54.8,3695.0,3640.2,752.4683333333332,980.843888888889,54.8,6.0,16.0,10.0,14.0,2.6666666666666665,16.0,2.0,6.0,4.0,3.333333333333333,1.7777777777777777,2.0,66.0,162.0,96.0,95.33333333333331,39.11111111111112,66.0,2.33,3.44,1.11,3.075,0.4866666666666667,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.3333333333333333,4.0,0.0,10.0,10.0,2.333333333333333,3.111111111111111,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,6.0,28.0,22.0,12.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.6666666666666666,2.0,0.0,6.0,6.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.0,1.3333333333333333,2.0,9.105,28.11,19.005,13.43,5.766666666666666,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,83.66666666666667,95.55555555555554,12.0,O2-4 Pb2+1 W6+1,-2,6,8,3.055050463303893
Rb3GeO,Ge,Rb,none,-0.7358122,0.18071747,0.0,33.9552337878549,0.0,4.147962158972901,6.87816804416025,14.89274221015289,121.3374920467357,90.00174931376901,107.54546941494044,0.0,Ge1 O1 Rb3,8.0,37.0,29.0,30.2,8.88,37.0,4.0,87.0,83.0,35.6,37.92,4.0,15.9994,85.4678,69.4684,69.00855999999999,21.203664000000003,85.4678,54.8,1211.4,1156.6,440.716,308.27360000000004,312.46,1.0,16.0,15.0,6.6,6.719999999999999,1.0,2.0,5.0,3.0,4.2,0.96,5.0,66.0,220.0,154.0,169.2,60.96,220.0,0.82,3.44,2.62,1.582,0.9144,0.82,1.0,2.0,1.0,1.4,0.48,1.0,0.0,4.0,4.0,1.2,1.44,0.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,4.6,4.32,1.0,0.0,1.0,1.0,0.6,0.4800000000000001,1.0,0.0,4.0,4.0,1.2,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.8,0.9600000000000002,1.0,9.105,90.7225,81.61749999999999,60.855500000000006,35.8404,90.7225,0.0,0.383,0.383,0.0766,0.12256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,184.8,69.11999999999999,229.0,Ge0+1 O0+1 Rb0+3,0,0,0,0.0
CdNi9O10,Cd,Ni,none,-0.8973526,0.030594824,18.000002,9.853177048793857,1.7001,8.02666496615626,8.02666496615626,5.25288888403808,83.70005550743137,83.70005550743137,141.82097485009623,0.0,Cd1 Ni9 O10,8.0,48.0,40.0,19.0,11.0,8.0,61.0,87.0,26.0,74.45,12.55,87.0,15.9994,112.411,96.4116,40.03228,24.03288,15.9994,54.8,1728.0,1673.2,834.711,803.9601,54.8,10.0,16.0,6.0,13.1,2.9,16.0,2.0,5.0,3.0,3.05,1.05,2.0,66.0,144.0,78.0,96.0,30.0,66.0,1.69,3.44,1.75,2.664,0.776,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,4.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0,8.1,2.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.9,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.9,0.19,2.0,9.105,19.495,10.39,10.17125,1.06625,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.267927615,0.2947203765,0.0,12.0,225.0,213.0,116.95,104.95,12.0,Cd2+1 Ni2+9 O2-10,-2,2,4,2.0
CoRhO2,Co,Rh,none,-0.7376941,0.39393282,4.0000005,12.444040988328286,0.0,4.87595755,4.87595755,5.424090832907997,63.29016535293575,63.29016535293575,90.0,0.0,Co1 O2 Rh1,8.0,45.0,37.0,22.0,14.0,8.0,58.0,87.0,29.0,72.75,14.25,87.0,15.9994,102.9055,86.90610000000001,48.45937375,32.45997375,15.9994,54.8,2237.0,2182.2,1028.65,973.85,54.8,9.0,16.0,7.0,12.5,3.5,16.0,2.0,5.0,3.0,3.25,1.25,2.0,66.0,142.0,76.0,100.0,34.0,66.0,1.88,3.44,1.56,2.76,0.68,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,8.0,8.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3.0,7.5,1.5,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.5,0.5,2.0,9.105,13.64,4.535,10.52375,1.558125,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3871178,0.5806767,0.0,12.0,225.0,213.0,110.75,98.75,12.0,Co+1 O2-2 Rh3+1,-2,3,5,2.1213203435596424
