n,true_f,attack,tara_r2,fhat_mean,oracle_r2,fltrust_r2
9,0,none,0.6507,1.0,0.6311,0.624
9,1,sign_flip,0.6545,1.0,0.6626,0.6128
9,1,scale,0.6545,1.0,0.6626,0.6358
9,1,gaussian,0.6545,1.0,0.6626,0.6284
9,1,little_is_enough,0.6545,1.0,0.6626,0.495
9,1,fall_of_empires,0.6545,1.0,0.6626,0.6149
9,2,sign_flip,0.6376,2.0,0.6304,0.5764
9,2,scale,0.6376,2.0,0.6304,0.6413
9,2,gaussian,0.6376,2.0,0.6304,0.6066
9,2,little_is_enough,0.6376,2.0,0.6304,0.3084
9,2,fall_of_empires,0.6376,2.0,0.6304,0.5774
