series,round,r2
Bulyan (clean),0,0.31
Bulyan (clean),1,0.3895
Bulyan (clean),2,0.4353
Bulyan (clean),3,0.4609
Bulyan (clean),4,0.4743
Bulyan (clean),5,0.4815
Bulyan (clean),6,0.4942
Bulyan (clean),7,0.5021
Bulyan (clean),8,0.5094
Bulyan (clean),9,0.5193
Bulyan (clean),10,0.5226
Bulyan (clean),11,0.5339
Bulyan (clean),12,0.5346
Bulyan (clean),13,0.5356
Bulyan (clean),14,0.5487
Bulyan (clean),15,0.546
Bulyan (clean),16,0.5541
Bulyan (clean),17,0.5542
Bulyan (clean),18,0.5594
Bulyan (clean),19,0.5635
Bulyan (clean),20,0.5612
Bulyan (clean),21,0.5708
Bulyan (clean),22,0.5739
Bulyan (clean),23,0.5732
Bulyan (clean),24,0.5781
Bulyan (clean),25,0.5777
Bulyan (clean),26,0.5797
Bulyan (clean),27,0.5786
Bulyan (clean),28,0.5846
Bulyan (clean),29,0.5836
Bulyan (sign-flip),0,0.31
Bulyan (sign-flip),1,0.3866
Bulyan (sign-flip),2,0.4304
Bulyan (sign-flip),3,0.4563
Bulyan (sign-flip),4,0.4753
Bulyan (sign-flip),5,0.4785
Bulyan (sign-flip),6,0.4895
Bulyan (sign-flip),7,0.4958
Bulyan (sign-flip),8,0.5026
Bulyan (sign-flip),9,0.515
Bulyan (sign-flip),10,0.513
Bulyan (sign-flip),11,0.525
Bulyan (sign-flip),12,0.5263
Bulyan (sign-flip),13,0.5299
Bulyan (sign-flip),14,0.5384
Bulyan (sign-flip),15,0.538
Bulyan (sign-flip),16,0.5405
Bulyan (sign-flip),17,0.5478
Bulyan (sign-flip),18,0.5506
Bulyan (sign-flip),19,0.5518
Bulyan (sign-flip),20,0.5501
Bulyan (sign-flip),21,0.5546
Bulyan (sign-flip),22,0.5604
Bulyan (sign-flip),23,0.5598
Bulyan (sign-flip),24,0.5607
Bulyan (sign-flip),25,0.5669
Bulyan (sign-flip),26,0.5674
Bulyan (sign-flip),27,0.5656
Bulyan (sign-flip),28,0.5726
Bulyan (sign-flip),29,0.5687
TARA (sign-flip),0,0.3092
TARA (sign-flip),1,0.3828
TARA (sign-flip),2,0.4333
TARA (sign-flip),3,0.4558
TARA (sign-flip),4,0.4736
TARA (sign-flip),5,0.4777
TARA (sign-flip),6,0.4952
TARA (sign-flip),7,0.4933
TARA (sign-flip),8,0.501
TARA (sign-flip),9,0.5201
TARA (sign-flip),10,0.5196
TARA (sign-flip),11,0.5283
TARA (sign-flip),12,0.5304
TARA (sign-flip),13,0.5366
TARA (sign-flip),14,0.5414
TARA (sign-flip),15,0.5404
TARA (sign-flip),16,0.5451
TARA (sign-flip),17,0.5485
TARA (sign-flip),18,0.5505
TARA (sign-flip),19,0.5529
TARA (sign-flip),20,0.5456
TARA (sign-flip),21,0.5615
TARA (sign-flip),22,0.5656
TARA (sign-flip),23,0.5638
TARA (sign-flip),24,0.5646
TARA (sign-flip),25,0.5699
TARA (sign-flip),26,0.5722
TARA (sign-flip),27,0.5716
TARA (sign-flip),28,0.5752
TARA (sign-flip),29,0.5754
Mean (sign-flip),0,0.0585
Mean (sign-flip),1,0.086
Mean (sign-flip),2,0.1064
Mean (sign-flip),3,0.1152
Mean (sign-flip),4,0.1267
Mean (sign-flip),5,0.1294
Mean (sign-flip),6,0.1348
Mean (sign-flip),7,0.1406
Mean (sign-flip),8,0.139
Mean (sign-flip),9,0.1365
Mean (sign-flip),10,0.1293
Mean (sign-flip),11,0.1356
Mean (sign-flip),12,0.1427
Mean (sign-flip),13,0.1389
Mean (sign-flip),14,0.1412
Mean (sign-flip),15,0.1329
Mean (sign-flip),16,0.1404
Mean (sign-flip),17,0.1391
Mean (sign-flip),18,0.1402
Mean (sign-flip),19,0.1385
Mean (sign-flip),20,0.1423
Mean (sign-flip),21,0.1361
Mean (sign-flip),22,0.1403
Mean (sign-flip),23,0.1528
Mean (sign-flip),24,0.1374
Mean (sign-flip),25,0.1471
Mean (sign-flip),26,0.1431
Mean (sign-flip),27,0.1411
Mean (sign-flip),28,0.1357
Mean (sign-flip),29,0.1446
