n,f,gar,attack,clean_r2,attack_r2
3,1,mean,sign_flip,0.738,-0.4492
3,1,mean,scale,0.738,-inf
3,1,mean,gaussian,0.738,-17.7402
3,1,mean,little_is_enough,0.738,-86828264.0
3,1,mean,fall_of_empires,0.738,nan
3,1,median,sign_flip,0.7124,0.2775
3,1,median,scale,0.7124,0.6574
3,1,median,gaussian,0.7124,0.6489
3,1,median,little_is_enough,0.7124,0.1994
3,1,median,fall_of_empires,0.7124,0.2984
3,1,multi_krum,sign_flip,0.7124,0.2775
3,1,multi_krum,scale,0.7124,0.6574
3,1,multi_krum,gaussian,0.7124,0.6489
3,1,multi_krum,little_is_enough,0.7124,0.1994
3,1,multi_krum,fall_of_empires,0.7124,0.2984
3,1,centered_clipping,sign_flip,0.7392,-0.4454
3,1,centered_clipping,scale,0.7392,-inf
3,1,centered_clipping,gaussian,0.7392,0.1022
3,1,centered_clipping,little_is_enough,0.7392,-380.7934
3,1,centered_clipping,fall_of_empires,0.7392,nan
3,1,bulyan,sign_flip,0.7124,0.2775
3,1,bulyan,scale,0.7124,0.6574
3,1,bulyan,gaussian,0.7124,0.6489
3,1,bulyan,little_is_enough,0.7124,0.1994
3,1,bulyan,fall_of_empires,0.7124,0.2984
3,1,geo_med,sign_flip,0.747,0.5025
3,1,geo_med,scale,0.747,0.7143
3,1,geo_med,gaussian,0.747,0.6674
3,1,geo_med,little_is_enough,0.747,0.5155
3,1,geo_med,fall_of_empires,0.747,0.5242
