n,f,gar,attack,clean_r2,attack_r2
7,1,mean,sign_flip,0.5698,0.1517
7,1,mean,scale,0.5698,-3.1909773573640684e+19
7,1,mean,gaussian,0.5698,-0.6028
7,1,mean,little_is_enough,0.5698,-31.368
7,1,mean,fall_of_empires,0.5698,nan
7,1,median,sign_flip,0.5875,0.571
7,1,median,scale,0.5875,0.5908
7,1,median,gaussian,0.5875,0.5779
7,1,median,little_is_enough,0.5875,0.5609
7,1,median,fall_of_empires,0.5875,0.5728
7,1,multi_krum,sign_flip,0.5871,0.5713
7,1,multi_krum,scale,0.5871,0.5713
7,1,multi_krum,gaussian,0.5871,0.5713
7,1,multi_krum,little_is_enough,0.5871,0.5713
7,1,multi_krum,fall_of_empires,0.5871,0.5713
7,1,centered_clipping,sign_flip,0.569,0.1517
7,1,centered_clipping,scale,0.569,-0.0723
7,1,centered_clipping,gaussian,0.569,0.4796
7,1,centered_clipping,little_is_enough,0.569,-1.9565
7,1,centered_clipping,fall_of_empires,0.569,nan
7,1,bulyan,sign_flip,0.5836,0.5784
7,1,bulyan,scale,0.5836,0.5784
7,1,bulyan,gaussian,0.5836,0.5784
7,1,bulyan,little_is_enough,0.5836,0.5784
7,1,bulyan,fall_of_empires,0.5836,0.5784
7,1,geo_med,sign_flip,0.575,0.5359
7,1,geo_med,scale,0.575,0.5657
7,1,geo_med,gaussian,0.575,0.548
7,1,geo_med,little_is_enough,0.575,0.5401
7,1,geo_med,fall_of_empires,0.575,0.5334
